name,attribute,Disparate Impact,Statistical Parity Difference,Consistency
adult income,gender,0.3596552625800337,-0.19451574596420296,0.7743212808648234
adult income,race,0.6005915505110953,-0.10144450514172723,0.7743376602104685
adult income,age,0.2815483619443825,-0.21522898474515983,0.7727570533557097
kdd census,sex,3.1882226303745633,0.0670971068597958,0.9324810307802497
kdd census,race,1.18982276246475,0.012818943173824399,0.9325898353614952
german credit,Sex,0.8965673282047968,-0.07480130902290782,0.6660000000000013
german credit,Age,0.8212484098784929,-0.12854990969960323,0.6656000000000012
dutch census,sex,0.5228940869266767,-0.2984780416148498,0.7988977159880677
bank marketing,age,2.8407985163535634,0.19107288299039504,0.8792462011457426
bank marketing,marital,1.3908403164996144,0.03956658602029975,0.881736745482297
credit card,SEX,1.1632123935364134,0.033909465375304954,0.7464600000000351
credit card,MARRIAGE,1.121701505744539,0.02547010340093364,0.7464600000000351
credit card,EDUCATION,0.8721905374378761,-0.030335389189727197,0.7464600000000351
compas recid,race,1.2689103868524942,0.1305990650433515,0.8952037704463539
compas viol,race,1.1074628644813624,0.08512614375288852,0.9390681003584233
diabetes,gender,0.9836073829926614,-0.0018433753715936807,0.8423500972819438
firefighter promotion,race,0.4975609756097561,-0.3029411764705882,0.9338983050847458
student mat,sex,0.9058493589743588,-0.06645927601809964,0.7458227848101262
student mat,age,0.7650591768238827,-0.16876030960538002,0.7473417721518982
student por,sex,0.6945169712793735,-0.05742162193996739,0.8847457627118642
student por,age,1.5847442523614328,0.07746611890258298,0.8835130970724189
law school,male,0.976767439850877,-0.02116475218893088,0.8940830301733322
law school,racetxt,0.6706133246910517,-0.3034553133570632,0.8940830301733322
credit-g,personal_status,0.8987364064632589,-0.07428460693753636,0.6808000000000012
credit-g,age,0.8212484098784929,-0.12854990969960323,0.6810000000000014
hearth disease,age,0.5861702127659575,-0.21780515117581184,0.6402640264026397
nursery,parents,1.0,0.0,0.5068518518518785
speed dating,samerace,0.9421072691557548,-0.009881569860628103,0.795344951062298
speed dating,importance_same_race,0.9925814295989315,-0.0012251223614054285,0.7956314156123101
tae,English speaker,2.2271805273833674,0.3420011305822499,0.6662251655629139
titanic,Sex,3.928037164728569,0.5531300709799203,0.6563411896745246
